X,Y,Topsoil_top
-121.9511702,47.96725452,456.6
-121.9517125,47.96679113,453.2
-121.9491983,47.96612749,458.6
-121.9521421,47.96713148,457.5
-121.9521285,47.96792462,459.8
-121.9521525,47.96862851,468.4
-121.9511551,47.96821346,457.6
-121.9497326,47.96776749,457
-121.9496185,47.96698504,458.3
-121.9480929,47.96560189,450.4
-121.9490739,47.96382628,434.7
-121.947789,47.96312529,437.6
-121.9466699,47.96243487,438
-121.9454714,47.96403878,417.5
-121.9444985,47.96403171,422.3
-121.9445461,47.9633524,408.1
-121.9454583,47.96004719,398.7
-121.9430159,47.96404364,425.4
-121.9434948,47.96341927,418.7
,,
